symbol,date,open_interest,open_interest_usd
1INCHUSDT,2026-02-17,33386276.0,3186720.0442
1INCHUSDT,2026-02-18,32916710.0,3136962.463
1INCHUSDT,2026-02-19,33247488.0,3053341.57605888
1INCHUSDT,2026-02-20,33697553.0,3090065.6101
1INCHUSDT,2026-02-21,33001976.0,3095585.3488
1INCHUSDT,2026-02-22,32774161.0,3044805.09746021
1INCHUSDT,2026-02-23,34868840.0,3181770.4919712
1INCHUSDT,2026-02-24,35486892.0,3128180.53073652
1INCHUSDT,2026-02-25,33622016.0,2941926.4
1INCHUSDT,2026-02-26,31466179.0,3031808.19666807
1INCHUSDT,2026-02-27,30843911.0,2942509.1094
1INCHUSDT,2026-02-28,31304673.0,2854783.01027223
1INCHUSDT,2026-03-01,29521949.0,2760302.2315
1INCHUSDT,2026-03-02,28764024.0,2630126.55235344
1INCHUSDT,2026-03-03,30089917.0,2868698.96648335
1INCHUSDT,2026-03-04,30262445.0,2838617.341
1INCHUSDT,2026-03-05,30078894.0,2983826.2848
1INCHUSDT,2026-03-06,30136152.0,2951853.86872968
1INCHUSDT,2026-03-07,30862014.0,2885598.309
1INCHUSDT,2026-03-08,29476421.0,2689723.41625
1INCHUSDT,2026-03-09,29149151.0,2628625.25599595
1INCHUSDT,2026-03-10,28920237.0,2685244.00545
1INCHUSDT,2026-03-11,28241786.0,2636312.8274387
1INCHUSDT,2026-03-12,28914952.0,2758486.4208
1INCHUSDT,2026-03-13,28844326.0,2776407.7146974
1INCHUSDT,2026-03-14,28343328.0,2770583.27009568
1INCHUSDT,2026-03-15,27889025.0,2708024.3275
1INCHUSDT,2026-03-16,26862280.0,2695384.2767608
AAVEUSDT,2026-02-17,376431.9,47779948.9016318
AAVEUSDT,2026-02-18,370244.8,46847074.544
AAVEUSDT,2026-02-19,343818.8,42253716.4901489
AAVEUSDT,2026-02-20,343614.3,42869320.068
AAVEUSDT,2026-02-21,374803.6,43408851.23825501
AAVEUSDT,2026-02-22,374162.9,45423376.06
AAVEUSDT,2026-02-23,357343.8,42123687.144
AAVEUSDT,2026-02-24,350905.5,40189378.92185799
AAVEUSDT,2026-02-25,340270.8,38892952.44
AAVEUSDT,2026-02-26,365513.3,43514490.40667962
AAVEUSDT,2026-02-27,403599.7,46208129.653
AAVEUSDT,2026-02-28,374904.9,42323089.59186588
AAVEUSDT,2026-03-01,380871.3,42602260.0597612
AAVEUSDT,2026-03-02,374677.8,42525930.3
AAVEUSDT,2026-03-03,378405.2,46216532.47862382
AAVEUSDT,2026-03-04,392742.1,43625441.94960317
AAVEUSDT,2026-03-05,397850.1,46090859.87799935
AAVEUSDT,2026-03-06,376123.2,43913943.57473324
AAVEUSDT,2026-03-07,332801.6,36914353.472
AAVEUSDT,2026-03-08,350934.7,38153620.584
AAVEUSDT,2026-03-09,372530.5,39300454.86638645
AAVEUSDT,2026-03-10,391852.4,41777114.07102703
AAVEUSDT,2026-03-11,362014.0,40422483.24
AAVEUSDT,2026-03-12,356156.3,39248424.26
AAVEUSDT,2026-03-13,362509.4,40452423.946
AAVEUSDT,2026-03-14,370694.1,41602998.843
AAVEUSDT,2026-03-15,373360.2,41480318.22
AAVEUSDT,2026-03-16,363726.1,42292749.88390289
ADAUSDT,2026-02-17,267436642.0,76388781.17734797
ADAUSDT,2026-02-18,258371152.0,72576456.5968
ADAUSDT,2026-02-19,250917604.0,68603367.05458376
ADAUSDT,2026-02-20,244965449.0,66826574.4872
ADAUSDT,2026-02-21,263484844.0,75006317.49147852
ADAUSDT,2026-02-22,264950367.0,74159607.7233
ADAUSDT,2026-02-23,257486138.0,69897017.08062892
ADAUSDT,2026-02-24,278982189.0,73128546.64989558
ADAUSDT,2026-02-25,280819419.0,72576287.68943511
ADAUSDT,2026-02-26,347821898.0,103329656.42969333
ADAUSDT,2026-02-27,365762320.0,104900633.376
ADAUSDT,2026-02-28,323556083.0,89786813.0325
ADAUSDT,2026-03-01,314312434.0,88278852.58926693
ADAUSDT,2026-03-02,319723391.0,87384002.84568267
ADAUSDT,2026-03-03,317402327.0,87888704.3463
ADAUSDT,2026-03-04,296511815.0,77804700.256
ADAUSDT,2026-03-05,318633778.0,88019767.63624026
ADAUSDT,2026-03-06,296975387.0,79867639.9560803
ADAUSDT,2026-03-07,319256697.0,82655558.8533
ADAUSDT,2026-03-08,321788269.0,81802841.67436425
ADAUSDT,2026-03-09,338534715.0,84358734.3958656
ADAUSDT,2026-03-10,332912647.0,84872167.62904775
ADAUSDT,2026-03-11,336888849.0,88222437.18080299
ADAUSDT,2026-03-12,326369177.0,85646514.17683762
ADAUSDT,2026-03-13,332404506.0,87522106.4298
ADAUSDT,2026-03-14,334136389.0,88698983.75205638
ADAUSDT,2026-03-15,333356822.0,87772851.2326
ADAUSDT,2026-03-16,331636868.0,89575118.0468
ALGOUSDT,2026-02-17,75652248.4,7152920.08622
ALGOUSDT,2026-02-18,73934033.9,6875865.1527
ALGOUSDT,2026-02-19,73751632.7,6704023.41243
ALGOUSDT,2026-02-20,78359667.8,6981846.40098
ALGOUSDT,2026-02-21,83045366.2,7503196.17202873
ALGOUSDT,2026-02-22,88345874.3,7911373.043565
ALGOUSDT,2026-02-23,91285161.7,7923552.03556
ALGOUSDT,2026-02-24,82790568.0,6937849.5984
ALGOUSDT,2026-02-25,82070445.4,6852882.1909
ALGOUSDT,2026-02-26,80901521.6,7357993.38952
ALGOUSDT,2026-02-27,80979221.5,7127490.64351824
ALGOUSDT,2026-02-28,79668947.0,6887380.46815
ALGOUSDT,2026-03-01,79610547.0,6997767.0813
ALGOUSDT,2026-03-02,74660736.2,6395182.57656683
ALGOUSDT,2026-03-03,75861489.0,6675811.032
ALGOUSDT,2026-03-04,81619779.0,7019300.994
ALGOUSDT,2026-03-05,76535357.4,6796339.73712
ALGOUSDT,2026-03-06,73395520.3,6403759.146175
ALGOUSDT,2026-03-07,74403518.0,6272216.5674
ALGOUSDT,2026-03-08,74863574.9,6213676.7167
ALGOUSDT,2026-03-09,78415937.0,6402705.95313409
ALGOUSDT,2026-03-10,80748050.2,6718237.77664
ALGOUSDT,2026-03-11,72771997.7,6207451.40381
ALGOUSDT,2026-03-12,72788602.7,6267098.69247
ALGOUSDT,2026-03-13,71902726.6,6401253.12284576
ALGOUSDT,2026-03-14,76918267.5,7222625.31825
ALGOUSDT,2026-03-15,75348675.4,6853273.97114616
