DATE,SYMBOL,RETURN
2013-01-28,20MICRONS,-0.47378071140447375
2013-02-08,20MICRONS,-0.20000000000000007
2023-03-02,360ONE,-0.7512829188518582
2007-08-27,3IINFOTECH,-0.5063636363636363
2012-11-23,3IINFOTECH,-0.3571428571428571
2013-03-01,3IINFOTECH,-0.2500000000000001
2015-05-12,3IINFOTECH,-0.20000000000000007
2019-06-27,3PLAND,-0.22466960352422893
2022-03-29,3PLAND,-0.39520958083832336
2022-06-21,3PLAND,-0.21823204419889508
2025-03-25,3PLAND,-0.44556451612903225
2019-05-28,5PAISA,-0.3310335497835498
2022-05-02,63MOONS,-0.4104184217916317
2024-03-18,63MOONS,-0.3193263157894737
2016-10-10,8KMILES,-0.5921502132010075
2018-07-02,8KMILES,-0.20000000000000007
2018-10-19,8KMILES,-0.6682979048784218
2020-09-15,8KMILES,-0.4573268921095007
2025-03-25,A2ZINFRA,-0.3281182094741417
2013-06-14,A2ZMES,-0.3316708229426434
2014-03-03,A2ZMES,-0.2279411764705882
2022-02-03,AAKASH,-0.8899911426040744
2024-04-01,AAKASH,-0.26792452830188684
2024-10-07,AAKASH,-0.3035714285714286
2025-09-29,AAKASH,-0.24273369992144533
2025-01-27,AAREYDRUGS,-0.3727754381198206
2025-08-25,AARON,-0.4445348837209302
2024-08-12,AARTECH,-0.6367527331937659
2025-04-15,AARTECH,-0.3699083784082129
2005-11-25,AARTIDRUGS,-0.31632961062481135
2015-03-24,AARTIDRUGS,-0.527920482465937
2020-09-30,AARTIDRUGS,-0.7375102096378983
2005-02-09,AARTIIND,-0.6537460621832626
2006-01-13,AARTIIND,-0.475796568627451
2008-12-01,AARTIIND,-0.37419354838709673
2019-09-27,AARTIIND,-0.4926071495414561
2021-06-22,AARTIIND,-0.5049946385236187
2008-12-01,AARVEEDEN,-0.6433260393873086
2019-06-25,ABAN,-0.5058020477815699
2019-12-10,ABAN,-0.20232172470978438
2020-05-27,ABAN,-0.2048997772828507
2024-08-05,ABAN,-0.23016241299303952
2005-05-04,ABANLOYD,-0.7933135750491649
2007-06-28,ABB,-0.7826424435680122
2025-05-22,ABFRL,-0.6659230340211935
2009-08-21,ABHISHEK,-0.25094339622641504
2010-02-19,ABHISHEK,-0.4675540765391015
2025-10-17,ABINFRA,-0.9021131768769685
2016-01-20,ABIRLANUVO,-0.5729224661712378
2023-03-01,ABMINTLLTD,-0.6468699839486356
2023-05-23,ABMINTLLTD,-0.30341594105827197
2023-10-23,ABMINTLLTD,-0.2574525745257452
2024-10-14,ABMINTLLTD,-0.24546859631867357
2025-02-10,ABMINTLLTD,-0.44874715261959
2025-10-06,ABMINTLLTD,-0.4054235467848033
2009-03-02,ABSHEKINDS,-0.3076923076923077
2021-11-25,ABSLBANETF,-0.9000750308162281
2020-03-12,ABSLNN50ET,-0.20660214310404423
2021-11-25,ABSLNN50ET,-0.89908111174135
2023-02-15,ACCURACY,-0.8834176204418419
2008-03-13,ACE,-0.794480755265069
2023-10-03,ACEINTEG,-0.36305732484076436
2014-03-03,ACROPETAL,-0.2962962962962963
2015-02-23,ACROPETAL,-0.20987654320987648
2009-12-10,ADANIENT,-0.4944424736904339
2011-07-29,ADANIENT,-0.21361896447518636
2015-06-03,ADANIENT,-0.8277080062794349
2017-04-26,ADANIENT,-0.20940313437812597
2018-09-06,ADANIENT,-0.2239867267124911
2023-02-01,ADANIENT,-0.2819698039611286
2023-02-02,ADANIENT,-0.26698199358418995
2024-11-21,ADANIENT,-0.22606769448874708
2024-06-04,ADANIPORTS,-0.21149657501815078
2020-03-12,ADANIPOWER,-0.2645631067961165
2021-09-20,ADANIPOWER,-0.35637221847606204
2025-09-22,ADANIPOWER,-0.7600084578517057
2023-09-11,ADFFOODS,-0.7746596398770311
2018-02-07,ADHUNIK,-0.22047244094488183
2018-10-16,ADHUNIK,-0.2499999999999999
2019-06-25,ADHUNIK,-0.3076923076923076
2017-09-22,ADHUNIKIND,-0.23978856319077368
2024-12-31,ADL,-0.3261713335181592
2008-01-21,ADLABSFILM,-0.2502328148173697
2018-10-16,ADROITINFO,-0.25
2019-06-25,ADROITINFO,-0.48362720403022674
2020-03-04,ADROITINFO,-0.2928176795580111
2020-09-16,ADROITINFO,-0.42051282051282046
2021-04-27,ADROITINFO,-0.3305785123966942
2021-08-09,ADROITINFO,-0.447457627118644
2022-03-29,ADROITINFO,-0.24584717607973428
2022-06-13,ADROITINFO,-0.4125874125874126
2025-02-17,ADROITINFO,-0.3713043478260869
2009-11-11,ADSL,-0.46561188246690344
2011-02-04,ADSL,-0.20000000000000007
2013-06-14,ADSL,-0.28627450980392155
2017-08-23,ADSL,-0.35973154362416104
2007-12-03,ADVANIHOTR,-0.7800982800982801
2010-12-03,ADVANIHOTR,-0.22636103151862463
2024-03-20,ADVANIHOTR,-0.5316260413452638
2013-07-05,ADVANTA,-0.7997883457900655
2017-05-25,ADVENZYMES,-0.783264635361944
2010-08-18,AEGISCHEM,-0.4273946360153257
2015-09-16,AEGISCHEM,-0.9010557328750307
2021-10-07,AFFLE,-0.7900012734913675
2025-04-17,AFIL,-0.8876054060298024
2007-06-08,AFL,-0.21212121212121227
2010-02-19,AFL,-0.21264367816091945
2017-12-29,AFL,-0.40118187787261983
2005-01-27,AFTEKINFO,-0.26718606782768095
2018-05-22,AGARIND,-0.5618425825172289
2012-12-19,AGCNET,-0.4746019711902957
2013-08-30,AGCNET,-0.2128027681660899
2018-02-07,AGCNET,-0.2581085694776373
2020-05-27,AGCNET,-0.387389691776442
2021-11-22,AGCNET,-0.3506967102990288
2025-02-07,AGIIL,-0.4957576097000924
2025-10-10,AGIIL,-0.7687735924825315
2022-06-21,AGRITECH,-0.46367187499999996
2005-12-12,AGRODUTCH,-0.26745098039215687
