symbol,date,open,high,low,close,volume,quote_volume,trades,taker_buy_vol,taker_buy_quote,daily_return_pct,price_range_pct,buy_sell_ratio,taker_buy_pct,volume_usd_mil,sma_7,sma_30,sma_90,sma_200,volatility_7d,volatility_30d,vol_sma_7,vol_sma_30,price_vol_ratio
AAVEUSDT,2021-03-18,382.899,384.72,360.822,363.133,91231.72,33914018.542912,51827,45816.372,17032150.364373,,6.6232,1.0088,50.22,33.91,,,,,,,,,1.071e-05
AAVEUSDT,2021-03-19,362.991,380.0,353.339,368.861,100318.817,37117068.742202,60858,52026.632,19253359.862795,1.5774,7.5454,1.0773,51.86,37.12,,,,,,,,,9.94e-06
AAVEUSDT,2021-03-20,368.826,396.2,367.375,370.171,95874.823,36840923.714304,66335,50823.844,19537561.375698,0.3551,7.8462,1.1281,53.01,36.84,,,,,,,,,1.005e-05
AAVEUSDT,2021-03-21,370.171,375.823,359.432,367.339,63351.065,23264295.867257,42400,30172.142,11079618.526519,-0.7651,4.5603,0.9094,47.63,23.26,,,,,,,,,1.579e-05
AAVEUSDT,2021-03-22,367.597,373.72,331.948,336.335,92905.149,33096036.626586,73452,44424.132,15863320.454575,-8.4402,12.5839,0.9163,47.82,33.1,,,,,,,,,1.016e-05
AAVEUSDT,2021-03-23,336.195,345.337,325.924,330.489,100615.916,33904399.563119,60619,51024.283,17205100.405305,-1.7381,5.9563,1.0289,50.71,33.9,,,,,,,,,9.75e-06
AAVEUSDT,2021-03-24,330.299,348.802,296.225,308.019,120517.599,39549884.173507,88154,59404.239,19526986.515832,-6.799,17.749,0.972,49.29,39.55,349.192429,,,,,,33955232.46,,7.79e-06
AAVEUSDT,2021-03-25,308.394,333.168,298.0,325.223,158041.746,49941389.369859,108334,78375.118,24829157.846931,5.5854,11.8013,0.9838,49.59,49.94,343.776714,,,,4.8295,,36244856.87,,6.51e-06
AAVEUSDT,2021-03-26,325.634,360.586,325.236,358.428,119722.201,41599531.20292,90295,59597.592,20700096.930502,10.2099,10.869,0.9912,49.78,41.6,342.286286,,,,6.5354,,36885208.65,,8.62e-06
AAVEUSDT,2021-03-27,358.682,361.975,339.408,351.319,77996.413,27149520.162742,52137,37783.588,13148939.84971,-1.9834,6.6489,0.9396,48.44,27.15,339.593143,,,,6.5604,,35500722.42,,1.294e-05
AAVEUSDT,2021-03-28,351.315,356.83,332.06,347.721,90141.867,31129472.055422,54604,43398.232,14996101.113564,-1.0241,7.4595,0.9284,48.14,31.13,336.790571,,,,6.5625,,36624319.02,,1.117e-05
AAVEUSDT,2021-03-29,348.036,367.819,344.39,360.827,122881.971,43786205.2978,75756,60360.725,21535267.522557,3.7691,6.803,0.9654,49.12,43.79,340.289429,,,,5.6963,,38151485.98,,8.24e-06
AAVEUSDT,2021-03-30,360.694,383.599,353.0,377.328,143158.504,53078573.079384,86421,74058.336,27457355.700939,4.5731,8.6683,1.0718,51.73,53.08,346.980714,,,,5.6631,,40890653.62,,7.11e-06
AAVEUSDT,2021-03-31,377.305,395.0,357.401,382.567,196426.494,74542637.706498,127989,95322.884,36185558.712277,1.3884,10.5201,0.9428,48.53,74.54,357.630429,,,,4.1839,,45889618.41,,5.13e-06
AAVEUSDT,2021-04-01,382.567,393.5,370.851,382.216,151457.542,58180598.317306,91959,72580.917,27906773.704123,-0.0917,6.1073,0.9202,47.92,58.18,365.772286,,,,4.1984,,47066648.26,,6.57e-06
AAVEUSDT,2021-04-02,382.249,422.312,377.353,420.082,191826.844,76811150.045894,125095,100731.356,40386710.759769,9.907,11.9143,1.1058,52.51,76.81,374.58,,,,4.1051,,52096879.52,,5.47e-06
AAVEUSDT,2021-04-03,420.0,425.5,376.314,379.622,137624.375,55444876.925565,109050,67531.181,27207875.712348,-9.6315,13.0705,0.9634,49.07,55.44,378.623286,,,,6.0239,,56139073.35,,6.85e-06
AAVEUSDT,2021-04-04,379.598,411.664,372.0,403.4,110604.904,43798822.551195,74789,58444.851,23178319.639764,6.2636,10.6624,1.1205,52.84,43.8,386.577429,,,,6.1889,,57948980.56,,9.21e-06
AAVEUSDT,2021-04-05,403.499,408.171,383.364,398.085,107399.952,42698961.810871,76578,52566.146,20910506.850866,-1.3176,6.4709,0.9586,48.94,42.7,391.9,,,,6.287,,57793660.06,,9.32e-06
AAVEUSDT,2021-04-06,398.399,415.129,379.303,382.99,177327.111,70518542.384135,117296,85434.896,33994712.271777,-3.7919,9.4452,0.9297,48.18,70.52,392.708857,,,,6.4179,,60285084.25,,5.43e-06
AAVEUSDT,2021-04-07,383.293,387.129,340.207,349.203,184615.22,66657505.165012,147708,88380.905,31875302.089533,-8.8219,13.7922,0.9184,47.87,66.66,387.942571,,,,7.2583,,59158636.74,,5.24e-06
AAVEUSDT,2021-04-08,348.672,371.566,346.4,371.027,122396.096,44012502.733148,85094,63529.077,22851687.723973,6.2497,7.265,1.0792,51.9,44.01,386.344143,,,,7.7777,,57134623.09,,8.43e-06
AAVEUSDT,2021-04-09,371.046,374.22,356.604,358.863,78595.935,28773676.862163,54954,36407.231,13338059.844725,-3.2785,4.9399,0.863,46.32,28.77,377.598571,,,,6.4086,,50272126.92,,1.247e-05
AAVEUSDT,2021-04-10,358.999,375.626,356.087,367.295,125065.961,46087688.642444,85981,61434.234,22636025.451711,2.3496,5.4871,0.9655,49.12,46.09,375.837571,,,,5.5934,,48935385.74,,7.97e-06
AAVEUSDT,2021-04-11,367.331,375.0,360.283,372.026,80279.6,29530750.751636,59794,41397.019,15230422.786096,1.2881,4.0848,1.0647,51.57,29.53,371.355571,,,,4.8865,,46897089.76,,1.26e-05
AAVEUSDT,2021-04-12,372.231,418.05,365.0,397.564,394741.454,154519712.337303,267199,196223.015,76885632.297397,6.8646,14.5342,0.9884,49.71,154.52,371.281143,,,,5.7185,,62871482.7,,2.57e-06
AAVEUSDT,2021-04-13,397.502,420.918,384.383,399.074,286982.217,115364282.551499,186257,138710.278,55680588.720698,0.3798,9.5048,0.9355,48.33,115.36,373.578857,,,,5.4538,,69278017.01,,3.46e-06
AAVEUSDT,2021-04-14,398.953,431.1,386.888,428.517,285814.239,116303390.337492,221892,145351.507,59260667.573136,7.3778,11.4276,1.0348,50.86,116.3,384.909429,,,,3.9643,,76370286.32,,3.68e-06
AAVEUSDT,2021-04-15,428.474,489.0,422.3,466.076,427683.291,195128878.296951,391880,216722.323,98862632.657994,8.7649,15.7945,1.0273,50.67,195.13,398.487857,,,,4.395,,97958339.97,,2.39e-06
AAVEUSDT,2021-04-16,466.076,470.073,418.529,440.784,281327.687,124849554.480838,172804,131370.523,58280726.338832,-5.4266,12.3155,0.8761,46.7,124.85,410.190857,375.486133,,,4.9751,,111683465.34,60919828.34,3.53e-06
AAVEUSDT,2021-04-17,441.318,462.176,418.262,425.0,144154.816,63467114.43141,112357,69070.72,30395069.327891,-3.5809,10.4992,0.9199,47.91,63.47,418.434429,377.548367,,,5.5884,5.538,114166240.46,61904931.54,6.7e-06
AAVEUSDT,2021-04-18,425.001,428.775,280.727,381.498,467760.757,173470065.009931,368810,237603.329,88196213.108519,-10.2358,52.7374,1.0324,50.8,173.47,419.787571,377.9696,,,7.3384,5.8809,134728999.64,66450031.42,2.2e-06
AAVEUSDT,2021-04-19,381.3,398.329,340.546,344.142,232671.519,86100304.064103,184240,117162.591,43382329.496508,-9.7919,16.9678,1.0143,50.36,86.1,412.155857,377.101967,,,7.6589,6.1615,124954798.45,68092010.76,4e-06
AAVEUSDT,2021-04-20,344.602,371.357,309.05,360.449,256030.587,88642100.562173,272646,129325.16,44780718.992179,4.7385,20.1608,1.0207,50.51,88.64,406.638,376.8723,,,8.0326,6.2214,121137343.88,70271270.92,4.07e-06
AAVEUSDT,2021-04-21,360.699,384.701,341.447,351.431,214484.792,78136819.906167,226588,106463.953,38792132.731587,-2.5019,12.6679,0.9856,49.64,78.14,395.625714,377.3755,,,7.0946,6.031,115684976.68,71772630.36,4.5e-06
AAVEUSDT,2021-04-22,351.431,415.134,343.062,359.709,435741.361,166196984.533066,420839,218294.108,83301935.572849,2.3555,21.0084,1.0039,50.1,166.2,380.430429,378.3495,,,5.6544,6.0291,111551849.0,76182383.19,2.16e-06
AAVEUSDT,2021-04-23,359.821,372.271,308.12,343.386,418595.218,139283758.941758,278209,209055.703,69545185.770987,-4.5378,20.8201,0.9977,49.94,139.28,366.516429,379.5284,,,5.6135,5.9488,113613878.21,79506845.68,2.47e-06
AAVEUSDT,2021-04-24,343.816,344.442,314.137,317.331,147934.681,48588917.209324,102354,67031.18,21990110.038584,-7.5877,9.6471,0.8285,45.31,48.59,351.135143,379.265333,,,5.839,6.0485,111488421.46,79461763.28,6.53e-06
AAVEUSDT,2021-04-25,317.332,353.791,314.753,348.53,145310.1746,48982869.2244691,113015,73195.7605,24672107.4288521,9.8317,12.4027,1.015,50.37,48.98,346.425429,378.9354,,,7.035,6.0271,93704536.35,79707874.55,7.12e-06
AAVEUSDT,2021-04-26,348.98,409.11,345.43,405.65,321545.8688,125008959.8511063,261753,165909.897,64451716.6851393,16.3888,18.435,1.066,51.6,125.01,355.212286,380.746433,,,8.4439,6.7051,99262915.75,82969855.87,3.24e-06
AAVEUSDT,2021-04-27,405.21,453.01,394.06,440.7,318605.4765,135316576.293169,307183,164073.5542,69746322.952071,8.6405,14.9597,1.0617,51.5,135.32,366.676714,383.845733,,,8.7273,6.8502,105930697.99,86442759.34,3.26e-06
AAVEUSDT,2021-04-28,440.86,486.712,423.01,460.88,427915.3354,196809183.8449542,356730,200010.3145,91925876.0260232,4.5791,15.0592,0.8776,46.74,196.81,382.312286,387.180833,,,8.355,6.863,122883892.84,91543525.3,2.34e-06
AAVEUSDT,2021-04-29,460.99,463.23,423.77,438.96,244980.1299,109095041.927875,138634,119075.1236,52945477.171495,-4.7561,9.3117,0.9458,48.61,109.1,393.633857,389.235233,,,9.0274,6.9088,114726472.47,93410740.92,4.02e-06
AAVEUSDT,2021-04-30,438.95,462.08,429.07,444.72,234640.0539,103171295.553061,138383,121960.2636,53664266.613881,1.3122,7.6934,1.0824,51.98,103.17,408.110143,391.307,,,8.441,6.9086,109567549.13,94365029.52,4.31e-06
AAVEUSDT,2021-05-01,444.72,512.0,436.27,504.47,352307.5767,169248097.7498738,320855,181471.8861,87299847.0323718,13.4354,17.3585,1.0623,51.51,169.25,434.844286,395.382133,,,7.2648,7.2843,126804574.92,98067279.5,2.98e-06
AAVEUSDT,2021-05-02,504.6,510.0,470.6,482.41,212962.0213,103724763.077576,134436,109021.6832,53097074.173857,-4.3729,8.3723,1.0489,51.19,103.72,453.97,397.459733,,,8.2756,7.16,134624845.47,98964399.93,4.65e-06
AAVEUSDT,2021-05-03,482.41,535.0,481.04,518.22,280956.009,144481534.841248,267001,147852.0423,76080878.841636,7.4231,11.2174,1.1108,52.62,144.48,470.051429,402.079667,,,6.7846,6.9858,137406641.9,101932288.53,3.59e-06
AAVEUSDT,2021-05-04,518.62,519.95,442.14,448.1,374734.9299,178709503.756799,274589,188290.7266,89797309.136252,-13.5309,17.5985,1.0099,50.25,178.71,471.108571,403.569667,,,8.9512,7.4197,143605631.54,106429311.24,2.51e-06
AAVEUSDT,2021-05-05,448.03,485.0,439.43,480.4,219568.8268,101671908.06717,159950,118833.4047,54990784.81685,7.2082,10.3703,1.1797,54.12,101.67,473.897143,406.3135,,,9.1985,7.5059,130014592.14,108395076.11,4.73e-06
AAVEUSDT,2021-05-06,480.79,482.31,440.0,452.93,196776.2338,90858464.414627,152931,102896.2149,47471642.729778,-5.7182,9.6159,1.096,52.29,90.86,475.892857,408.644833,,,9.3047,7.5555,127409366.78,109073073.51,4.99e-06
AAVEUSDT,2021-05-07,452.94,469.64,432.15,445.13,157154.5623,70866368.147023,127533,80924.4082,36547848.939048,-1.7221,8.6752,1.0616,51.49,70.87,475.951429,411.8424,,,9.3486,7.351,122794377.15,109213368.95,6.28e-06
AAVEUSDT,2021-05-08,445.33,475.65,440.27,466.9,118733.5978,54400512.750327,104189,58348.8701,26756495.520348,4.8907,8.036,0.9663,49.14,54.4,470.584286,415.038167,,,7.789,7.3221,106387579.29,109559635.95,8.58e-06
AAVEUSDT,2021-05-09,466.86,469.98,440.64,459.51,108532.9756,49517583.538332,86590,55665.5501,25412045.813552,-1.5828,6.6585,1.0529,51.29,49.52,467.312857,418.393067,,,7.6477,7.2942,98643696.5,110251099.5,9.28e-06
AAVEUSDT,2021-05-10,459.44,482.46,400.0,433.48,193342.4905,88043397.831488,180557,97568.0342,44454814.021134,-5.6647,20.615,1.0187,50.46,88.04,455.207143,420.599233,,,6.9773,7.3923,90581105.5,111649623.14,4.92e-06
AAVEUSDT,2021-05-11,433.02,459.34,417.4,457.28,141927.1696,62184834.880408,127998,73291.976,32133130.028099,5.4904,10.0479,1.0678,51.64,62.18,456.518571,423.441033,,,5.4018,7.4413,73934724.23,112738092.61,7.35e-06
AAVEUSDT,2021-05-12,457.73,598.0,455.98,513.81,1027598.0786,561350359.768676,1107486,501908.8394,274013319.333096,12.3622,31.1461,0.9548,48.84,561.35,461.291429,427.3159,,,6.6818,7.6564,139603074.48,126299114.19,9.2e-07
AAVEUSDT,2021-05-13,513.81,621.0,450.0,509.33,976961.4174,536546277.551639,890105,488468.2898,268492562.258247,-0.8719,38.0,0.9999,50.0,536.55,469.348571,430.9911,,,6.0749,7.6641,203272762.07,140338514.03,9.5e-07
AAVEUSDT,2021-05-14,508.87,634.32,505.61,594.78,443099.6582,255286597.198825,485997,228198.6225,131550887.004853,16.7769,25.4564,1.0619,51.5,255.29,490.727143,436.5332,,,7.988,8.1089,229618509.07,144971287.59,2.33e-06
AAVEUSDT,2021-05-15,594.8,611.0,508.31,517.89,336189.7337,186997832.415288,258370,169793.0403,94586120.008436,-12.9275,20.2022,1.0204,50.51,187.0,498.011429,438.260333,,,10.3324,8.3927,248560983.31,144700252.73,2.77e-06
AAVEUSDT,2021-05-16,517.2,562.72,477.35,527.88,299952.7342,155998209.7538,241228,156628.3082,81606692.232439,1.929,17.8842,1.0928,52.22,156.0,507.778571,441.163533,,,10.2174,8.315,263772501.34,145738541.24,3.38e-06
AAVEUSDT,2021-05-17,527.84,593.89,470.0,572.26,546539.805,299656211.194283,531132,268901.9881,147490495.171685,8.4072,26.3596,0.9685,49.2,299.66,527.604286,446.0722,,,9.7293,8.3784,294002903.25,153611511.13,1.91e-06
AAVEUSDT,2021-05-18,572.45,668.0,562.04,628.75,706129.4983,445857191.588065,700479,346894.6193,219008041.933497,9.8714,18.8528,0.9656,49.13,445.86,552.1,454.313933,,,9.9457,8.2239,348813239.92,162691082.01,1.41e-06
AAVEUSDT,2021-05-19,628.37,649.86,350.0,414.36,1181213.4515,619811608.05115,886816,567433.8589,298553502.987821,-34.0978,85.6743,0.9245,48.04,619.81,537.892857,456.654533,,,17.1602,10.3487,357164846.82,180481458.81,6.7e-07
AAVEUSDT,2021-05-20,413.95,509.0,351.56,467.22,613938.9288,271436186.753786,509129,308499.4149,136941979.756935,12.757,44.7833,1.01,50.25,271.44,531.877143,460.213567,,,18.0036,10.5451,319291976.71,186574595.02,1.72e-06
AAVEUSDT,2021-05-21,466.85,494.42,310.0,373.29,562543.9343,223854691.155961,408906,273219.9321,109018627.739621,-20.104,59.4903,0.9443,48.57,223.85,500.235714,460.9422,,,17.8035,11.24,314801704.42,191431857.4,1.67e-06
AAVEUSDT,2021-05-22,372.88,382.78,310.0,334.87,436067.2922,147637222.111981,288165,211391.8205,71674250.696456,-10.2923,23.4774,0.9409,48.48,147.64,474.09,460.114233,,,17.632,11.4182,309178760.09,190813198.65,2.27e-06
AAVEUSDT,2021-05-23,334.85,350.68,208.09,293.31,777740.8903,212346102.348594,378236,360370.6806,98426171.702473,-12.4108,68.5232,0.8634,46.34,212.35,440.58,458.445033,,,17.593,11.6254,317228459.03,193248610.1,1.38e-06
AAVEUSDT,2021-05-24,293.08,397.67,286.39,387.06,603161.2079,203883029.484402,367331,306658.8984,103447695.672652,31.9628,38.8561,1.0343,50.84,203.88,414.122857,460.769333,,,22.4999,12.8872,303546575.93,198425080.5,1.9e-06
AAVEUSDT,2021-05-25,387.37,404.93,321.64,370.66,414097.3471,148382244.212982,336835,209860.1443,75346342.525776,-4.2371,25.8954,1.0275,50.68,148.38,377.252857,461.507,,,21.7547,12.8297,261050154.87,201738393.0,2.5e-06
AAVEUSDT,2021-05-26,370.3,418.0,357.29,414.57,402571.4835,153263389.881085,433911,206418.0433,78588326.427514,11.8464,16.9918,1.0523,51.27,153.26,377.282857,461.804333,,,18.2292,12.6681,194400409.42,202680207.34,2.7e-06
AAVEUSDT,2021-05-27,414.54,415.07,364.47,371.9,316297.0337,121879650.503065,369507,157304.5235,60569375.728612,-10.2926,13.8832,0.9894,49.73,121.88,363.665714,459.511,,,17.9064,12.7399,173035189.96,202232309.81,3.05e-06
AAVEUSDT,2021-05-28,372.0,376.6,304.0,319.8,386903.2378,130038611.725406,354765,190488.0298,64022891.947879,-14.0091,23.8816,0.9698,49.23,130.04,356.024286,454.808333,,,17.0008,12.9723,159632892.9,200006624.07,2.46e-06
AAVEUSDT,2021-05-29,320.21,335.81,280.3,298.02,252141.7386,77780908.137442,186552,122829.5689,37921291.866115,-6.8105,19.8038,0.9499,48.71,77.78,350.76,450.110333,,,16.7346,13.0017,149653419.47,198962819.61,3.83e-06
AAVEUSDT,2021-05-30,297.87,339.3,281.43,324.38,188588.2838,59984265.541233,166800,94416.1096,30062609.717015,8.845,20.5628,1.0026,50.06,59.98,355.198571,446.099,,,16.1449,13.1088,127887442.78,197523251.95,5.41e-06
AAVEUSDT,2021-05-31,324.38,385.41,304.36,382.44,338881.0828,118139646.422263,318290,164681.8926,57397488.317091,17.8988,26.6296,0.9454,48.6,118.14,354.538571,442.031333,,,12.2744,13.2927,115638388.06,195819636.9,3.24e-06
