"id","commodity_id","wars","sanctions","trade_bans","shipping_disruptions","political_instability"
1,1,False,True,False,False,"Moderate"
2,2,False,True,False,False,"Moderate"
3,3,False,False,True,False,"Moderate"
4,4,False,False,False,False,"Moderate"
5,5,True,True,False,False,"Moderate"
6,6,False,True,False,False,"Moderate"
7,7,False,False,False,False,"Moderate"
8,8,False,False,False,False,"Moderate"
9,9,False,False,False,False,"Moderate"
10,10,False,True,False,False,"Moderate"
11,11,False,False,False,True,"Moderate"
12,12,False,False,False,False,"Moderate"
13,13,True,True,False,False,"Moderate"
14,14,False,False,False,False,"Moderate"
15,15,False,True,False,True,"Moderate"
16,16,True,True,False,False,"Moderate"
17,17,False,False,False,False,"Moderate"
18,18,False,False,False,False,"Moderate"
19,19,False,False,False,False,"Moderate"
20,20,True,False,True,False,"Moderate"
21,21,True,False,False,False,"Moderate"
22,22,False,False,False,False,"Moderate"
23,23,False,False,False,True,"Moderate"
24,24,True,False,True,False,"Moderate"
25,25,False,False,False,True,"Moderate"
26,26,False,False,False,False,"Moderate"
27,27,False,False,False,False,"Moderate"
28,28,False,False,False,False,"Moderate"
29,29,False,False,True,False,"Moderate"
30,30,False,True,False,False,"Moderate"
31,31,True,False,False,False,"Moderate"
32,32,True,False,False,True,"Moderate"
33,33,False,False,False,True,"Moderate"
34,34,False,False,False,False,"Moderate"
35,35,False,False,False,False,"Moderate"
36,36,False,False,False,False,"Moderate"
37,37,False,False,False,True,"Moderate"
38,38,False,False,True,False,"Moderate"
39,39,False,True,False,False,"Moderate"
40,40,False,True,False,False,"Moderate"
41,41,False,True,False,False,"Moderate"
42,42,False,False,False,False,"Moderate"
43,43,False,False,False,False,"Moderate"
44,44,False,False,False,False,"Moderate"
45,45,False,False,False,False,"Moderate"
46,46,False,False,False,False,"Moderate"
47,47,False,True,False,False,"Moderate"
48,48,False,False,False,False,"Moderate"
49,49,False,False,True,True,"Moderate"
50,50,False,False,False,True,"Moderate"
51,51,False,True,False,False,"Moderate"
52,52,True,False,False,False,"Moderate"
53,53,False,False,False,False,"Moderate"
54,54,True,False,False,False,"Moderate"
55,55,False,False,False,False,"Moderate"
56,56,False,False,False,False,"Moderate"
57,57,False,False,False,True,"Moderate"
58,58,False,False,False,True,"Moderate"
59,59,False,False,False,False,"Moderate"
60,60,False,False,False,False,"Moderate"
61,61,False,False,False,False,"Moderate"
62,62,False,False,False,True,"Moderate"
63,63,False,False,True,False,"Moderate"
64,64,False,False,False,False,"Moderate"
65,65,False,True,False,False,"Moderate"
66,66,False,False,True,False,"Moderate"
67,67,True,False,False,False,"Moderate"
68,68,False,False,False,False,"Moderate"
69,69,False,False,False,False,"Moderate"
70,70,False,False,False,False,"Moderate"
71,71,False,True,True,False,"Moderate"
72,72,False,True,True,False,"Moderate"
73,73,False,True,False,False,"Moderate"
74,74,False,False,False,False,"Moderate"
75,75,False,False,False,False,"Moderate"
76,76,False,False,False,False,"Moderate"
77,77,False,False,False,False,"Moderate"
78,78,False,False,False,False,"Moderate"
79,79,False,False,False,False,"Moderate"
80,80,False,False,False,False,"Moderate"
81,81,False,False,True,False,"Moderate"
82,82,False,False,False,True,"Moderate"
83,83,False,False,True,False,"Moderate"
84,84,False,False,False,False,"Moderate"
85,85,False,True,False,False,"Moderate"
86,86,False,False,False,False,"Moderate"
87,87,False,False,False,False,"Moderate"
88,88,False,True,False,False,"Moderate"
89,89,True,False,False,False,"Moderate"
90,90,False,True,False,False,"Moderate"
91,91,False,False,False,False,"Moderate"
92,92,False,False,False,False,"Moderate"
93,93,False,False,False,False,"Moderate"
94,94,False,True,False,True,"Moderate"
95,95,False,False,False,False,"Moderate"
96,96,False,False,False,False,"Moderate"
97,97,False,False,False,False,"Moderate"
98,98,True,False,False,False,"Moderate"
99,99,False,False,False,False,"Moderate"
100,100,False,False,False,False,"Moderate"
101,101,False,False,False,False,"Moderate"
102,102,False,False,True,False,"Moderate"
103,103,False,False,False,False,"Moderate"
104,104,False,True,False,False,"Moderate"
105,105,False,False,True,False,"Moderate"
106,106,False,False,False,False,"Moderate"
107,107,False,False,False,False,"Moderate"
108,108,False,False,False,False,"Moderate"
109,109,False,True,False,False,"Moderate"
110,110,False,False,False,False,"Moderate"
111,111,False,False,False,False,"Moderate"
112,112,False,False,False,True,"Moderate"
113,113,False,True,True,False,"Moderate"
114,114,False,False,False,False,"Moderate"
115,115,True,False,False,False,"Moderate"
116,116,False,True,False,False,"Moderate"
117,117,False,True,False,True,"Moderate"
118,118,False,False,True,False,"Moderate"
119,119,False,False,False,False,"Moderate"
120,120,False,False,False,False,"Moderate"
121,121,False,True,False,False,"Moderate"
122,122,False,False,False,False,"Moderate"
123,123,False,False,False,False,"Moderate"
124,124,False,False,False,False,"Moderate"
125,125,False,False,False,True,"Moderate"
126,126,False,False,False,True,"Moderate"
127,127,False,True,False,False,"Moderate"
128,128,False,False,False,False,"Moderate"
129,129,False,False,True,False,"Moderate"
130,130,False,False,False,True,"Moderate"
131,131,False,False,False,False,"Moderate"
132,132,False,False,True,False,"Moderate"
133,133,False,False,False,False,"Moderate"
134,134,False,False,True,True,"Moderate"
135,135,False,True,False,True,"Moderate"
136,136,False,False,False,False,"Moderate"
137,137,False,True,False,False,"Moderate"
138,138,False,True,True,False,"Moderate"
139,139,False,False,False,True,"Moderate"
140,140,True,False,True,False,"Moderate"
