"id","commodity_id","event_name","event_date","event_type","price_impact","duration","recovery"
1,1,"Global Crisis","2024-06-22","Crash","10.9595338033283","6 Months","Recovered"
2,2,"Global Crisis","2025-01-31","Crash","31.9882819172047","6 Months","Recovered"
3,3,"Global Crisis","2025-10-14","Crash","5.02172330782182","6 Months","Recovered"
4,4,"Global Crisis","2023-08-27","Crash","47.4207921798784","6 Months","Recovered"
5,5,"Global Crisis","2024-07-30","Crash","11.7335175425087","6 Months","Recovered"
6,6,"Global Crisis","2023-10-06","Crash","42.2428328600044","6 Months","Recovered"
7,7,"Global Crisis","2024-12-08","Crash","47.64571635459","6 Months","Recovered"
8,8,"Global Crisis","2026-01-05","Crash","8.69904359575121","6 Months","Recovered"
9,9,"Global Crisis","2025-11-15","Crash","19.9456913660283","6 Months","Recovered"
10,10,"Global Crisis","2025-06-27","Crash","5.91931785344907","6 Months","Recovered"
11,11,"Global Crisis","2025-04-21","Crash","15.9879982970138","6 Months","Recovered"
12,12,"Global Crisis","2025-08-13","Crash","24.8948250940851","6 Months","Recovered"
13,13,"Global Crisis","2023-08-06","Crash","24.7540202284433","6 Months","Recovered"
14,14,"Global Crisis","2025-01-12","Crash","35.8347496454691","6 Months","Recovered"
15,15,"Global Crisis","2024-05-24","Crash","40.0148458043488","6 Months","Recovered"
16,16,"Global Crisis","2024-05-31","Crash","8.97403252214053","6 Months","Recovered"
17,17,"Global Crisis","2025-03-11","Crash","9.00217038376969","6 Months","Recovered"
18,18,"Global Crisis","2025-06-27","Crash","22.7455122101087","6 Months","Recovered"
19,19,"Global Crisis","2025-03-18","Crash","44.9836108292398","6 Months","Recovered"
20,20,"Global Crisis","2024-07-04","Crash","0.358920846275812","6 Months","Recovered"
21,21,"Global Crisis","2024-04-20","Crash","43.0153283789959","6 Months","Recovered"
22,22,"Global Crisis","2024-04-25","Crash","24.1603679784309","6 Months","Recovered"
23,23,"Global Crisis","2024-05-17","Crash","33.3687536500849","6 Months","Recovered"
24,24,"Global Crisis","2025-01-19","Crash","36.1431991106536","6 Months","Recovered"
25,25,"Global Crisis","2025-11-27","Crash","32.7352398229169","6 Months","Recovered"
26,26,"Global Crisis","2024-09-14","Crash","40.1626451633675","6 Months","Recovered"
27,27,"Global Crisis","2026-02-07","Crash","7.16661916892978","6 Months","Recovered"
28,28,"Global Crisis","2025-03-30","Crash","27.0434947716007","6 Months","Recovered"
29,29,"Global Crisis","2025-09-17","Crash","38.3086113079652","6 Months","Recovered"
30,30,"Global Crisis","2025-02-01","Crash","45.7262918727722","6 Months","Recovered"
31,31,"Global Crisis","2025-04-14","Crash","23.1506748736011","6 Months","Recovered"
32,32,"Global Crisis","2025-05-16","Crash","22.7391995400011","6 Months","Recovered"
33,33,"Global Crisis","2023-10-25","Crash","23.3992324362736","6 Months","Recovered"
34,34,"Global Crisis","2024-06-01","Crash","8.81853091315665","6 Months","Recovered"
35,35,"Global Crisis","2023-06-28","Crash","2.20173628679252","6 Months","Recovered"
36,36,"Global Crisis","2025-01-03","Crash","14.8879792942766","6 Months","Recovered"
37,37,"Global Crisis","2025-01-30","Crash","47.6997759706986","6 Months","Recovered"
38,38,"Global Crisis","2023-07-15","Crash","28.5519875066202","6 Months","Recovered"
39,39,"Global Crisis","2024-01-02","Crash","30.2935040701972","6 Months","Recovered"
40,40,"Global Crisis","2023-12-16","Crash","33.420375458794","6 Months","Recovered"
41,41,"Global Crisis","2026-03-02","Crash","15.7083717453965","6 Months","Recovered"
42,42,"Global Crisis","2025-06-19","Crash","44.4891301708438","6 Months","Recovered"
43,43,"Global Crisis","2026-02-09","Crash","32.2749742603676","6 Months","Recovered"
44,44,"Global Crisis","2024-04-21","Crash","25.3272233749073","6 Months","Recovered"
45,45,"Global Crisis","2024-12-07","Crash","41.2168102750633","6 Months","Recovered"
46,46,"Global Crisis","2023-09-08","Crash","36.6136916614853","6 Months","Recovered"
47,47,"Global Crisis","2025-07-08","Crash","4.41069830572256","6 Months","Recovered"
48,48,"Global Crisis","2023-11-15","Crash","37.0997998029044","6 Months","Recovered"
49,49,"Global Crisis","2024-05-29","Crash","42.1919326317591","6 Months","Recovered"
50,50,"Global Crisis","2025-10-06","Crash","25.0837779846562","6 Months","Recovered"
51,51,"Global Crisis","2025-11-13","Crash","14.6155209493783","6 Months","Recovered"
52,52,"Global Crisis","2024-08-05","Crash","21.2956343481415","6 Months","Recovered"
53,53,"Global Crisis","2024-09-18","Crash","25.443866101809","6 Months","Recovered"
54,54,"Global Crisis","2025-05-21","Crash","4.07263147672292","6 Months","Recovered"
55,55,"Global Crisis","2024-09-11","Crash","2.99941969264436","6 Months","Recovered"
56,56,"Global Crisis","2025-09-05","Crash","34.3366397925019","6 Months","Recovered"
57,57,"Global Crisis","2024-07-21","Crash","9.50476096403803","6 Months","Recovered"
58,58,"Global Crisis","2025-11-18","Crash","49.1723170989863","6 Months","Recovered"
59,59,"Global Crisis","2023-07-31","Crash","24.412220317056","6 Months","Recovered"
60,60,"Global Crisis","2024-08-10","Crash","39.5047036068665","6 Months","Recovered"
61,61,"Global Crisis","2025-03-08","Crash","46.8601399203069","6 Months","Recovered"
62,62,"Global Crisis","2024-10-27","Crash","26.4135054089751","6 Months","Recovered"
63,63,"Global Crisis","2024-11-26","Crash","48.2658023931173","6 Months","Recovered"
64,64,"Global Crisis","2024-10-19","Crash","36.6552395544187","6 Months","Recovered"
65,65,"Global Crisis","2025-01-15","Crash","10.6025796634575","6 Months","Recovered"
66,66,"Global Crisis","2023-07-11","Crash","16.9852443770836","6 Months","Recovered"
67,67,"Global Crisis","2025-05-31","Crash","12.9771404612066","6 Months","Recovered"
68,68,"Global Crisis","2025-01-01","Crash","7.57187264363794","6 Months","Recovered"
69,69,"Global Crisis","2024-06-26","Crash","30.834962603453","6 Months","Recovered"
