"id","commodity_id","ohlc_daily","ohlc_weekly","ohlc_monthly","volume","open_interest","liquidity","bid_ask_spread","volatility","price_cycle"
64,1,"{""open"" : 31.626341626286546, ""high"" : 44.19520276462232, ""low"" : 36.70164001568166, ""close"" : 72.64147049117152}","{""open"" : 0.9413196938285129, ""high"" : 99.37301911298337, ""low"" : 58.570835104551065, ""close"" : 23.16430572121071}","{""open"" : 77.56599959815418, ""high"" : 51.89620161809373, ""low"" : 40.78851373070652, ""close"" : 12.624236609145534}","67521","64869","60.1850696633708","2.20915423700412","6.69345303104644","Cyclical"
65,2,"{""open"" : 86.90213458844502, ""high"" : 2.224807074908046, ""low"" : 1.3850652171855238, ""close"" : 71.02546516555618}","{""open"" : 47.37138523077633, ""high"" : 73.15362181416756, ""low"" : 56.28999372272753, ""close"" : 64.46925847462599}","{""open"" : 30.385044540978747, ""high"" : 68.51498841304837, ""low"" : 50.99412919307866, ""close"" : 99.52395202321792}","81649","10356","65.3178272034475","1.09267750374151","2.25027392150433","Cyclical"
66,3,"{""open"" : 96.723539547077, ""high"" : 52.25868032826078, ""low"" : 20.931828187779136, ""close"" : 31.206224574315833}","{""open"" : 41.730380942013156, ""high"" : 65.14732539808247, ""low"" : 37.191461812367365, ""close"" : 65.85705920556728}","{""open"" : 32.78499795054341, ""high"" : 25.53645437611099, ""low"" : 38.34785879176947, ""close"" : 41.506168507870456}","39437","91683","99.7258740467867","4.8472707360675","3.15718415798213","Cyclical"
67,4,"{""open"" : 22.244668717759808, ""high"" : 16.97218033045334, ""low"" : 55.121375458074446, ""close"" : 49.17236095972311}","{""open"" : 67.12993645015439, ""high"" : 3.897113418546372, ""low"" : 22.862199538390815, ""close"" : 39.974317823506624}","{""open"" : 15.301054084842747, ""high"" : 10.823244025457042, ""low"" : 24.363743645563964, ""close"" : 84.67855338844683}","15028","95768","42.3795319637698","2.3508369874097","4.56017082174438","Cyclical"
68,5,"{""open"" : 80.29016562929978, ""high"" : 83.83984381671222, ""low"" : 18.938515478850206, ""close"" : 21.86316453075272}","{""open"" : 6.856133049268132, ""high"" : 43.190415725220355, ""low"" : 49.53621432606351, ""close"" : 58.02272135513136}","{""open"" : 72.8543001511824, ""high"" : 9.961569080730355, ""low"" : 71.54780266125368, ""close"" : 0.2848127088704633}","45930","29619","73.3143321069028","3.60804708627279","5.91249635692779","Cyclical"
69,6,"{""open"" : 12.719940311326305, ""high"" : 22.85043785742861, ""low"" : 9.997344070370637, ""close"" : 18.327316432109274}","{""open"" : 71.99043124695288, ""high"" : 58.823612509260954, ""low"" : 45.60647398498233, ""close"" : 4.964457105796449}","{""open"" : 19.557724743001348, ""high"" : 3.3311073955243398, ""low"" : 75.7135767349543, ""close"" : 27.390301102198023}","34870","83684","44.8316938277898","1.54189184493448","1.6973542338544","Cyclical"
70,7,"{""open"" : 58.01882923808775, ""high"" : 36.47203157617285, ""low"" : 41.52827763885858, ""close"" : 55.79986060297215}","{""open"" : 86.455301439413, ""high"" : 110.58124126282911, ""low"" : 75.15649142389765, ""close"" : 79.92380440243292}","{""open"" : 91.82758947239049, ""high"" : 119.99748053453297, ""low"" : 21.679761488973952, ""close"" : 71.66548092512397}","88496","67067","96.9298908604181","3.60259345473298","6.98118627440764","Cyclical"
71,8,"{""open"" : 12.802475650525569, ""high"" : 86.89558780197433, ""low"" : 22.987889814455755, ""close"" : 24.433899152124482}","{""open"" : 77.89108965338019, ""high"" : 119.41335174231826, ""low"" : 70.6680583642494, ""close"" : 92.81794431791673}","{""open"" : 41.20868472281338, ""high"" : 0.0013699363691443978, ""low"" : 13.04159229381872, ""close"" : 54.786094727683945}","50809","98852","80.1051953660375","4.84857643100244","1.32847779497717","Cyclical"
72,9,"{""open"" : 22.7325574880755, ""high"" : 21.507597196350396, ""low"" : 76.51324802729613, ""close"" : 5.6663352682888135}","{""open"" : 0.3097029860146039, ""high"" : 75.20205683364895, ""low"" : 71.15132027735726, ""close"" : 19.806218127495878}","{""open"" : 66.90641793129302, ""high"" : 45.34847874400853, ""low"" : 12.131839335725765, ""close"" : 82.30638312603222}","92588","24090","35.8585906245482","1.40764275812523","7.20448761138348","Cyclical"
73,10,"{""open"" : 2.094584290257062, ""high"" : 51.614058118607, ""low"" : 15.347920827886572, ""close"" : 21.32023650915027}","{""open"" : 22.96898598444306, ""high"" : 92.08225431430678, ""low"" : 55.72153753551254, ""close"" : 23.616201976872333}","{""open"" : 65.22588645670754, ""high"" : 39.142834994366815, ""low"" : 39.463285611875776, ""close"" : 52.25484414325064}","30207","81740","14.603732545574","2.81814099899103","1.04686945083753","Cyclical"
