"id","commodity_id","crop_cycle","harvest_month","demand_season","festival_demand"
1,1,"Annual","December","Moderate","Low"
2,2,"Annual","December","Moderate","Low"
3,3,"Annual","December","Moderate","Low"
4,4,"Annual","December","Moderate","Low"
5,5,"Annual","December","Moderate","Low"
6,6,"Annual","December","Moderate","Low"
7,7,"Annual","December","Moderate","Low"
8,8,"Annual","December","Moderate","Low"
9,9,"Annual","December","Moderate","Low"
10,10,"Annual","December","Moderate","Low"
11,11,"Annual","December","Moderate","Low"
12,12,"Annual","December","Moderate","Low"
13,13,"Annual","December","Moderate","Low"
14,14,"Annual","December","Moderate","Low"
15,15,"Annual","December","Moderate","Low"
16,16,"Annual","December","Moderate","Low"
17,17,"Annual","December","Moderate","Low"
18,18,"Annual","December","Moderate","Low"
19,19,"Annual","December","Moderate","Low"
20,20,"Annual","December","Moderate","Low"
21,21,"Annual","December","Moderate","Low"
22,22,"Annual","December","Moderate","Low"
23,23,"Annual","December","Moderate","Low"
24,24,"Annual","December","Moderate","Low"
25,25,"Annual","December","Moderate","Low"
26,26,"Annual","December","Moderate","Low"
27,27,"Annual","December","Moderate","Low"
28,28,"Annual","December","Moderate","Low"
29,29,"Annual","December","Moderate","Low"
30,30,"Annual","December","Moderate","Low"
31,31,"Annual","December","Moderate","Low"
32,32,"Annual","December","Moderate","Low"
33,33,"Annual","December","Moderate","Low"
34,34,"Annual","December","Moderate","Low"
35,35,"Annual","December","Moderate","Low"
36,36,"Annual","December","Moderate","Low"
37,37,"Annual","December","Moderate","Low"
38,38,"Annual","December","Moderate","Low"
39,39,"Annual","December","Moderate","Low"
40,40,"Annual","December","Moderate","Low"
41,41,"Annual","December","Moderate","Low"
42,42,"Annual","December","Moderate","Low"
43,43,"Annual","December","Moderate","Low"
44,44,"Annual","December","Moderate","Low"
45,45,"Annual","December","Moderate","Low"
46,46,"Annual","December","Moderate","Low"
47,47,"Annual","December","Moderate","Low"
48,48,"Annual","December","Moderate","Low"
49,49,"Annual","December","Moderate","Low"
50,50,"Annual","December","Moderate","Low"
51,51,"Annual","December","Moderate","Low"
52,52,"Annual","December","Moderate","Low"
53,53,"Annual","December","Moderate","Low"
54,54,"Annual","December","Moderate","Low"
55,55,"Annual","December","Moderate","Low"
56,56,"Annual","December","Moderate","Low"
57,57,"Annual","December","Moderate","Low"
58,58,"Annual","December","Moderate","Low"
59,59,"Annual","December","Moderate","Low"
60,60,"Annual","December","Moderate","Low"
61,61,"Annual","December","Moderate","Low"
62,62,"Annual","December","Moderate","Low"
63,63,"Annual","December","Moderate","Low"
64,64,"Annual","December","Moderate","Low"
65,65,"Annual","December","Moderate","Low"
66,66,"Annual","December","Moderate","Low"
67,67,"Annual","December","Moderate","Low"
68,68,"Annual","December","Moderate","Low"
69,69,"Annual","December","Moderate","Low"
70,70,"Annual","December","Moderate","Low"
71,71,"Annual","December","Moderate","Low"
72,72,"Annual","December","Moderate","Low"
73,73,"Annual","December","Moderate","Low"
74,74,"Annual","December","Moderate","Low"
75,75,"Annual","December","Moderate","Low"
76,76,"Annual","December","Moderate","Low"
77,77,"Annual","December","Moderate","Low"
78,78,"Annual","December","Moderate","Low"
79,79,"Annual","December","Moderate","Low"
80,80,"Annual","December","Moderate","Low"
81,81,"Annual","December","Moderate","Low"
82,82,"Annual","December","Moderate","Low"
83,83,"Annual","December","Moderate","Low"
84,84,"Annual","December","Moderate","Low"
85,85,"Annual","December","Moderate","Low"
86,86,"Annual","December","Moderate","Low"
87,87,"Annual","December","Moderate","Low"
88,88,"Annual","December","Moderate","Low"
89,89,"Annual","December","Moderate","Low"
90,90,"Annual","December","Moderate","Low"
91,91,"Annual","December","Moderate","Low"
92,92,"Annual","December","Moderate","Low"
93,93,"Annual","December","Moderate","Low"
94,94,"Annual","December","Moderate","Low"
95,95,"Annual","December","Moderate","Low"
96,96,"Annual","December","Moderate","Low"
97,97,"Annual","December","Moderate","Low"
98,98,"Annual","December","Moderate","Low"
99,99,"Annual","December","Moderate","Low"
100,100,"Annual","December","Moderate","Low"
101,101,"Annual","December","Moderate","Low"
102,102,"Annual","December","Moderate","Low"
103,103,"Annual","December","Moderate","Low"
104,104,"Annual","December","Moderate","Low"
105,105,"Annual","December","Moderate","Low"
106,106,"Annual","December","Moderate","Low"
107,107,"Annual","December","Moderate","Low"
108,108,"Annual","December","Moderate","Low"
109,109,"Annual","December","Moderate","Low"
110,110,"Annual","December","Moderate","Low"
111,111,"Annual","December","Moderate","Low"
112,112,"Annual","December","Moderate","Low"
113,113,"Annual","December","Moderate","Low"
114,114,"Annual","December","Moderate","Low"
115,115,"Annual","December","Moderate","Low"
116,116,"Annual","December","Moderate","Low"
117,117,"Annual","December","Moderate","Low"
118,118,"Annual","December","Moderate","Low"
119,119,"Annual","December","Moderate","Low"
120,120,"Annual","December","Moderate","Low"
121,121,"Annual","December","Moderate","Low"
122,122,"Annual","December","Moderate","Low"
123,123,"Annual","December","Moderate","Low"
124,124,"Annual","December","Moderate","Low"
125,125,"Annual","December","Moderate","Low"
126,126,"Annual","December","Moderate","Low"
127,127,"Annual","December","Moderate","Low"
128,128,"Annual","December","Moderate","Low"
129,129,"Annual","December","Moderate","Low"
130,130,"Annual","December","Moderate","Low"
131,131,"Annual","December","Moderate","Low"
132,132,"Annual","December","Moderate","Low"
133,133,"Annual","December","Moderate","Low"
