"id","commodity_id","wars","sanctions","trade_bans","shipping_disruptions","political_instability"
250,250,False,False,True,True,"Low"
251,251,False,False,False,False,"Low"
252,252,False,False,False,False,"Low"
253,253,True,False,False,True,"Low"
254,254,False,True,False,False,"Low"
255,255,True,False,False,False,"Low"
256,256,True,True,False,False,"Low"
257,257,False,False,False,False,"Low"
258,258,False,True,False,False,"Low"
259,259,False,False,True,False,"Low"
260,260,False,False,False,False,"Low"
261,261,False,False,False,False,"Low"
262,262,False,True,False,False,"Low"
263,263,False,False,False,True,"Low"
264,264,True,False,False,True,"Low"
265,265,False,False,True,False,"Low"
266,266,True,False,False,True,"Low"
267,267,False,False,False,False,"Low"
268,268,False,False,False,False,"Low"
269,269,False,False,False,False,"Low"
270,270,False,False,False,False,"Low"
271,271,False,False,False,False,"Low"
272,272,False,False,False,False,"Low"
273,273,False,False,False,False,"Low"
274,274,False,False,True,False,"Low"
275,275,False,False,False,False,"Low"
276,276,False,False,False,False,"Low"
277,277,False,True,False,False,"Low"
278,278,False,True,False,False,"Low"
279,279,False,False,False,False,"Low"
280,280,False,False,False,False,"Low"
281,281,True,True,False,False,"Low"
282,282,False,False,False,True,"Low"
283,283,False,False,True,False,"Low"
284,284,True,False,False,False,"Low"
285,285,False,False,False,True,"Low"
286,286,False,False,False,True,"Low"
287,287,False,False,False,False,"Low"
288,288,False,False,True,False,"Low"
289,289,False,False,True,True,"Low"
290,290,False,False,False,False,"Low"
291,291,False,False,False,False,"Low"
292,292,False,False,False,False,"Low"
293,293,True,False,False,False,"Low"
294,294,False,False,False,False,"Low"
295,295,False,False,False,False,"Low"
296,296,False,True,False,False,"Low"
297,297,True,False,False,False,"Low"
298,298,False,False,False,False,"Low"
299,299,False,False,False,True,"Low"
300,300,False,False,False,False,"Low"
301,301,False,False,True,True,"Low"
302,302,False,True,False,False,"Low"
303,303,False,False,True,False,"Low"
304,304,False,False,False,False,"Low"
305,305,False,True,False,True,"Low"
306,306,False,True,False,False,"Low"
307,307,False,False,True,False,"Low"
308,308,False,False,True,True,"Low"
309,309,False,False,False,False,"Low"
310,310,False,False,False,False,"Low"
311,311,True,False,False,False,"Low"
312,312,False,False,True,True,"Low"
