"id","commodity_id","crop_cycle","harvest_month","demand_season","festival_demand"
250,250,"Seasonal","October","High","High"
251,251,"Seasonal","October","High","High"
252,252,"Seasonal","October","High","High"
253,253,"Seasonal","October","High","High"
254,254,"Seasonal","October","High","High"
255,255,"Seasonal","October","High","High"
256,256,"Seasonal","October","High","High"
257,257,"Seasonal","October","High","High"
258,258,"Seasonal","October","High","High"
259,259,"Seasonal","October","High","High"
260,260,"Seasonal","October","High","High"
261,261,"Seasonal","October","High","High"
262,262,"Seasonal","October","High","High"
263,263,"Seasonal","October","High","High"
264,264,"Seasonal","October","High","High"
265,265,"Seasonal","October","High","High"
266,266,"Seasonal","October","High","High"
267,267,"Seasonal","October","High","High"
268,268,"Seasonal","October","High","High"
269,269,"Seasonal","October","High","High"
270,270,"Seasonal","October","High","High"
271,271,"Seasonal","October","High","High"
272,272,"Seasonal","October","High","High"
273,273,"Seasonal","October","High","High"
274,274,"Seasonal","October","High","High"
275,275,"Seasonal","October","High","High"
276,276,"Seasonal","October","High","High"
277,277,"Seasonal","October","High","High"
278,278,"Seasonal","October","High","High"
279,279,"Seasonal","October","High","High"
280,280,"Seasonal","October","High","High"
281,281,"Seasonal","October","High","High"
282,282,"Seasonal","October","High","High"
283,283,"Seasonal","October","High","High"
284,284,"Seasonal","October","High","High"
285,285,"Seasonal","October","High","High"
286,286,"Seasonal","October","High","High"
287,287,"Seasonal","October","High","High"
288,288,"Seasonal","October","High","High"
289,289,"Seasonal","October","High","High"
290,290,"Seasonal","October","High","High"
291,291,"Seasonal","October","High","High"
292,292,"Seasonal","October","High","High"
293,293,"Seasonal","October","High","High"
294,294,"Seasonal","October","High","High"
295,295,"Seasonal","October","High","High"
296,296,"Seasonal","October","High","High"
297,297,"Seasonal","October","High","High"
298,298,"Seasonal","October","High","High"
299,299,"Seasonal","October","High","High"
300,300,"Seasonal","October","High","High"
301,301,"Seasonal","October","High","High"
302,302,"Seasonal","October","High","High"
303,303,"Seasonal","October","High","High"
304,304,"Seasonal","October","High","High"
305,305,"Seasonal","October","High","High"
306,306,"Seasonal","October","High","High"
307,307,"Seasonal","October","High","High"
308,308,"Seasonal","October","High","High"
309,309,"Seasonal","October","High","High"
310,310,"Seasonal","October","High","High"
311,311,"Seasonal","October","High","High"
312,312,"Seasonal","October","High","High"
